Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,Telefone,Morada,CódigoPostal,DataNascimento,Email
Mafalda Abreu,Advogado,Divorciado,Feminino,Viana do Castelo,Vila Nova de Cerveira,928018167,"Av de Neto, 95
7360-004 Vila Real",8360-425,09/10/1982,mafalda.abreu@yahoo.com
Beatriz-Nair Anjos,Enfermeiro,Viúvo,Feminino,Braga,Guimarães,940882638,"Travessa Joel Amaral, S/N
6638-198 Sabugal",1148-021,12/03/1972,beatriz-nair.anjos@sapo.pt
Bruna Pires,Aposentado,Divorciado,Feminino,Braga,Celorico de Basto,975901555,"R. Martins, 94
2466-856 Gandra",2798-548,04/01/1948,bruna.pires@hotmail.com
Dinis Amorim,Cozinheiro,Divorciado,Masculino,Braga,Amares,923775240,"Rua Loureiro, 213
3484-720 Montemor-o-Novo",5819-790,29/10/1985,dinis.amorim@gmail.com
Amélia Sá,Empregado de Limpeza,Viúvo,Feminino,Bragança,Vimioso,924347362,"Alameda de Lopes, 69
1007-391 Fiães",7344-289,04/06/1989,amélia.sá@outlook.com
Leandro Reis,Agricultor,Solteiro,Masculino,Braga,Esposende,938222680,"Travessa Assunção, 198
7450-858 Porto Santo",6642-179,10/08/1965,leandro.reis@outlook.com
Carminho Garcia,Motorista,Casado,Feminino,Viseu,Lamego,974098586,"Rua das Necessidades, 509
0057-437 Oliveira do Hospital",3541-265,31/03/1991,carminho.garcia@yahoo.com
Brian Freitas,Advogado,Viúvo,Masculino,Leiria,Nazaré,960663641,"Av de Macedo, 190
8995-355 Rio Tinto",9676-366,11/02/1973,brian.freitas@outlook.com
Tomé Alves-Fernandes,Farmacêutico,Divorciado,Masculino,Vila Real,Boticas,991757424,"Travessa de Freitas, 91
1601-298 Setúbal",2130-644,17/08/1971,tomé.alves-fernandes@gmail.com
Miriam Silva,Carpinteiro,Viúvo,Feminino,Viana do Castelo,Vila Nova de Cerveira,931632835,"R. Valente, S/N
2866-094 Tomar",9171-639,03/03/1999,miriam.silva@outlook.com
Isaac Paiva,Estudante,Viúvo,Masculino,Viana do Castelo,Valença,963439312,"Travessa Adolfo Ayala, 473
6124-554 Macedo de Cavaleiros",9813-020,26/08/2001,isaac.paiva@gmail.com
Miriam do Correia,Cozinheiro,Divorciado,Feminino,Braga,Braga,901404260,"Largo Sofia Barros, 25
6319-216 Macedo de Cavaleiros",0703-041,23/08/1994,miriam.correia@sapo.pt
Gabriel Magalhães,Psicólogo,Viúvo,Masculino,Coimbra,Arganil,904617302,"Alameda Mara Coelho, 42
8317-870 Lagos",6668-003,02/03/1982,gabriel.magalhães@outlook.com
Frederico Pires-Matias,Técnico de Marketing,Casado,Masculino,Viseu,Carregal do Sal,972209606,"Rua de Macedo, 72
5967-791 Rio Maior",9163-657,19/04/1993,frederico.pires-matias@sapo.pt
Sandro Rodrigues,Rececionista,Solteiro,Masculino,Aveiro,Estarreja,920699812,"Avenida das Fontainhas, 78
5617-840 Aveiro",6219-816,01/03/1981,sandro.rodrigues@sapo.pt
Emma-Letícia Sousa,Eletricista,Solteiro,Feminino,Braga,Barcelos,924995454,"R. de Campos, 321
7892-781 Felgueiras",4277-209,27/05/1992,emma-letícia.sousa@gmail.com
Wilson da Gomes,Professor,Viúvo,Masculino,Porto,Amarante,945515065,"Avenida Soares, 9
9699-742 Gafanha da Nazaré",5404-714,14/07/2004,wilson.gomes@sapo.pt
Enzo Reis,Psicólogo,Viúvo,Masculino,Braga,Celorico de Basto,957496648,"Alameda de Fonseca, S/N
1123-376 Estarreja",1316-575,30/04/1980,enzo.reis@hotmail.com
Kelly Ribeiro,Gestor de Projetos,Viúvo,Feminino,Braga,Esposende,917621087,"Avenida Joel Rodrigues, 17
7843-923 Ovar",1370-237,19/06/1985,kelly.ribeiro@yahoo.com
Rui do Neto,Advogado,Divorciado,Masculino,Vila Real,Peso da Régua,940827469,"Largo de Torres, 2
4052-110 Mirandela",0312-863,16/10/1983,rui.neto@yahoo.com
Tatiana Brito,Gestor de Projetos,Divorciado,Feminino,Porto,Gondomar,960175189,"Travessa de Cardoso, 44
6522-855 Oliveira do Bairro",6441-813,20/06/1987,tatiana.brito@outlook.com
Artur do Nascimento,Analista de Dados,Viúvo,Masculino,Viseu,Sátão,954559466,"Av Nuno Matos, 686
4025-452 Fátima",3784-963,30/10/1997,artur.nascimento@yahoo.com
Íris Amaral,Estudante,Viúvo,Feminino,Viana do Castelo,Caminha,935836971,"R. dos Rouxinóis, 6
4396-536 Paredes",3270-469,11/04/2002,íris.amaral@hotmail.com
Beatriz Cardoso,Contabilista,Viúvo,Feminino,Lisboa,Alenquer,947266237,"Largo Maia, 23
5184-862 Loures",0139-621,19/09/1984,beatriz.cardoso@hotmail.com
Salomé Oliveira-Borges,Advogado,Viúvo,Feminino,Braga,Braga,986397322,"Av Valente, 89
4163-676 Sabugal",4947-087,25/08/1991,salomé.oliveira-borges@gmail.com
Leonardo da Nunes,Rececionista,Divorciado,Masculino,Bragança,Vinhais,981861743,"Alameda Ricardo Nogueira, 600
7502-720 Trofa",4367-259,12/01/1995,leonardo.nunes@outlook.com
Bruna Jesus,Técnico de Marketing,Divorciado,Feminino,Lisboa,Lisboa,973379557,"Travessa Pereira, 32
2962-606 Freamunde",1189-715,17/05/1969,bruna.jesus@outlook.com
Miguel Rodrigues,Aposentado,Solteiro,Masculino,Vila Real,Sabrosa,999742845,"Avenida Sá, 9
4755-934 Porto Santo",3166-294,22/06/1951,miguel.rodrigues@outlook.com
Bianca Batista,Advogado,Divorciado,Feminino,Setúbal,Alcácer do Sal,954807233,"Av das Nações, 42
7385-676 Alcobaça",5916-132,08/07/1994,bianca.batista@outlook.com
Rodrigo Faria,Gestor de Projetos,Casado,Masculino,Braga,Esposende,979500758,"Travessa de Branco, S/N
6395-856 Costa da Caparica",1105-366,06/12/1992,rodrigo.faria@outlook.com
Amélia Gaspar,Programador,Casado,Feminino,Guarda,Almeida,907644215,"Alameda Kevin Castro, S/N
9553-201 Serpa",0311-924,05/11/1997,amélia.gaspar@hotmail.com
Mário Domingues,Carpinteiro,Divorciado,Masculino,Vila Real,Alijó,958250512,"Travessa do Parque, 366
6218-639 Guimarães",9189-153,18/11/2001,mário.domingues@gmail.com
Frederico Loureiro,Aposentado,Viúvo,Masculino,Setúbal,Palmela,960608366,"Praça de Reis, 2
6387-837 Marinha Grande",3344-025,17/03/1956,frederico.loureiro@outlook.com
Kevin Tavares,Eletricista,Solteiro,Masculino,Braga,Braga,970858124,"Avenida Moreira, 5
6169-283 Mealhada",4361-276,11/04/1992,kevin.tavares@hotmail.com
Luísa-Tatiana Garcia,Arquiteto,Casado,Feminino,Porto,Gondomar,976573617,"R. Nelson Ferreira, S/N
9963-637 Loulé",5560-554,10/09/1977,luísa-tatiana.garcia@outlook.com
Violeta Lima,Enfermeiro,Solteiro,Feminino,Porto,Porto,977251550,"Av de Correia, 7
9466-358 Loulé",5001-412,03/08/1967,violeta.lima@sapo.pt
Letícia Valente-Fernandes,Cozinheiro,Casado,Feminino,Lisboa,Vila Franca de Xira,947358255,"Praça Ivo Garcia, 5
1287-125 Trancoso",0615-600,17/05/1983,letícia.valente-fernandes@yahoo.com
Rafael Araújo,Gestor de Projetos,Divorciado,Masculino,Braga,Celorico de Basto,945060363,"Praça do Codeçal, 82
1183-772 Tomar",0828-336,18/04/1970,rafael.araújo@sapo.pt
Nádia Machado,Cozinheiro,Divorciado,Feminino,Guarda,Manteigas,985911229,"Alameda de Nunes, 6
0067-876 Ermesinde",7871-426,29/02/1984,nádia.machado@gmail.com
Yasmin-Teresa Lopes,Gestor de Projetos,Solteiro,Feminino,Braga,Guimarães,914545433,"Travessa Lourenço, 55
2599-283 Alcobaça",4459-822,10/02/1998,yasmin-teresa.lopes@outlook.com
Brian da Mota,Professor,Casado,Masculino,Guarda,Guarda,955532943,"Av Gabriela Campos, 95
0512-410 Costa da Caparica",6830-836,26/05/1975,brian.mota@outlook.com
Denis Pinto,Eletricista,Solteiro,Masculino,Braga,Cabeceiras de Basto,925290018,"Rua de Amaral, 49
3260-361 São João da Madeira",0932-006,03/07/1981,denis.pinto@yahoo.com
Alice Mendes-Matias,Gestor de Projetos,Viúvo,Feminino,Viana do Castelo,Ponte de Lima,997141541,"Rua Lucas Ramos, 39
9492-364 Santarém",7650-267,16/05/1966,alice.mendes-matias@sapo.pt
Kévim de Nogueira,Empregado de Limpeza,Viúvo,Masculino,Aveiro,Anadia,986627172,"R. Juliana Nascimento, 22
0041-943 Ourém",3872-353,18/09/1984,kévim.nogueira@outlook.com
César Miranda,Eletricista,Casado,Masculino,Guarda,Aguiar da Beira,917200647,"Av dos Combatentes da Grande Guerra, 88
1673-800 Gafanha da Nazaré",1358-714,23/11/1983,césar.miranda@outlook.com
Íris Gaspar,Carpinteiro,Divorciado,Feminino,Lisboa,Sintra,949686931,"Largo António Dias Lourenço, 95
9954-753 Gouveia",5715-846,22/09/1986,íris.gaspar@sapo.pt
Rafael da Leite,Estudante,Casado,Masculino,Vila Real,Mondim de Basto,967141959,"Travessa Dinis Nascimento, 3
2157-219 Tavira",5494-503,25/08/2007,rafael.leite@outlook.com
Mafalda Baptista,Eletricista,Casado,Feminino,Porto,Maia,974754445,"Travessa de Pinho, S/N
7113-318 Câmara de Lobos",9552-010,09/12/2002,mafalda.baptista@yahoo.com
Joel Anjos,Médico,Casado,Masculino,Aveiro,Águeda,970862439,"Praça Morais, 45
8172-154 Alcobaça",7646-201,30/11/1984,joel.anjos@hotmail.com
Márcio Nogueira,Programador,Casado,Masculino,Lisboa,Loures,938474904,"Praça de Marques, 6
7067-206 Santiago do Cacém",4934-681,27/07/1988,márcio.nogueira@outlook.com
Tiago Tavares,Analista de Dados,Casado,Masculino,Braga,Guimarães,904177447,"Travessa Panorâmica Edgar Cardoso, 88
4820-878 Vale de Cambra",8582-205,28/10/1978,tiago.tavares@outlook.com
Fabiana Baptista,Motorista,Viúvo,Feminino,Bragança,Alfândega da Fé,999186580,"Alameda Abreu, 44
6337-041 Bragança",6777-856,27/11/1987,fabiana.baptista@gmail.com
Wilson Ramos,Técnico de Marketing,Divorciado,Masculino,Viana do Castelo,Viana do Castelo,982145378,"Avenida Martim Matos, 39
3281-118 Gafanha da Nazaré",9523-248,13/09/1976,wilson.ramos@hotmail.com
Valentina Barros,Estudante,Casado,Feminino,Santarém,Tomar,926326084,"Av Cruz, 69
2500-513 Matosinhos",9203-696,13/03/2009,valentina.barros@hotmail.com
Ariana Fonseca,Designer Gráfico,Viúvo,Feminino,Vila Real,Vila Pouca de Aguiar,992391332,"R. de Cardoso, 7
9735-338 Vila Nova de Foz Côa",2199-026,20/09/1979,ariana.fonseca@gmail.com
Miguel Carvalho-Borges,Agricultor,Divorciado,Masculino,Braga,Vizela,969455925,"Largo Marcos Coelho, 96
2226-492 Póvoa de Santa Iria",4505-835,29/06/1983,miguel.carvalho-borges@yahoo.com
Salomé Lopes,Agricultor,Solteiro,Feminino,Porto,Porto,932528818,"Avenida da Torrinha, 21
0869-841 Ponte de Sor",1465-528,28/07/2004,salomé.lopes@yahoo.com
Ivo Leite,Técnico de Marketing,Viúvo,Masculino,Braga,Fafe,937317282,"Praça de Amaral, 2
4003-158 Portimão",2560-134,21/10/1982,ivo.leite@sapo.pt
Isabela Paiva,Cozinheiro,Divorciado,Feminino,Porto,Santo Tirso,986243262,"Largo Núria Macedo, 23
9936-959 Tomar",3768-712,30/05/1969,isabela.paiva@yahoo.com
Hugo da Cardoso,Cozinheiro,Casado,Masculino,Viseu,Tondela,939987879,"Praça Luna Esteves, 1
4711-387 Lixa",2965-218,15/06/1996,hugo.cardoso@outlook.com
Lúcia Matias-Pinho,Psicólogo,Casado,Feminino,Santarém,Tomar,976282259,"Praça dos Navegadores, 504
8414-710 Fafe",0644-340,27/11/1991,lúcia.matias-pinho@gmail.com
Mia Abreu,Programador,Viúvo,Feminino,Viana do Castelo,Vila Nova de Cerveira,905119839,"Alameda de Coelho, 70
1293-841 Mealhada",4981-284,10/12/1988,mia.abreu@outlook.com
Ana da Nascimento,Aposentado,Solteiro,Feminino,Viana do Castelo,Valença,953297186,"Praça Cristiano Melo, 22
6642-182 Figueira da Foz",4540-237,11/06/1947,ana.nascimento@yahoo.com
Frederico Vicente-Pires,Eletricista,Solteiro,Masculino,Lisboa,Loures,940353662,"Largo Andreia Branco, 615
6444-037 Espinho",1632-258,02/09/1973,frederico.vicente-pires@gmail.com
Valentina-Daniela Melo,Advogado,Divorciado,Feminino,Porto,Amarante,999335545,"R. de São Roque da Lameira, 89
2253-584 Leiria",1347-330,31/08/1973,valentina-daniela.melo@outlook.com
Marta Nascimento-Martins,Advogado,Divorciado,Feminino,Setúbal,Seixal,912330461,"Travessa da Cruz, S/N
9505-551 Covilhã",9881-664,24/01/1982,marta.nascimento-martins@hotmail.com
Lia-Alícia Amaral,Contabilista,Viúvo,Feminino,Porto,Maia,979727182,"Av Nádia Soares, 702
0665-556 Fátima",5306-088,05/10/1977,lia-alícia.amaral@hotmail.com
Sara Simões,Psicólogo,Casado,Feminino,Castelo Branco,Oleiros,902468707,"Alameda de Gomes, 54
0946-087 Esmoriz",1763-282,01/08/1976,sara.simões@yahoo.com
Cláudio Castro,Motorista,Viúvo,Masculino,Braga,Barcelos,963728148,"Praça Tavares, 20
5868-948 São Salvador de Lordelo",7049-316,12/05/1996,cláudio.castro@outlook.com
Isaac Henriques,Professor,Solteiro,Masculino,Braga,Cabeceiras de Basto,983156463,"Avenida de Sá, 63
1445-398 Fiães",5862-709,14/04/1991,isaac.henriques@gmail.com
Nuno Gaspar,Rececionista,Divorciado,Masculino,Braga,Amares,940451798,"Av João Melo, 51
0684-817 Figueira da Foz",8711-591,13/03/1979,nuno.gaspar@outlook.com
Yasmin Morais,Aposentado,Casado,Feminino,Braga,Cabeceiras de Basto,902290898,"Praça Vicente Anjos, S/N
7961-256 Évora",6264-048,28/08/1945,yasmin.morais@hotmail.com
Micael Ribeiro,Professor,Viúvo,Masculino,Braga,Celorico de Basto,977329924,"Rua Yasmin Correia, 64
2926-889 Pombal",6410-258,24/05/1981,micael.ribeiro@yahoo.com
Lisandro Cardoso,Professor,Casado,Masculino,Portalegre,Arronches,939156745,"Travessa Carolina Michaelis de Vasconcelos, S/N
7774-901 Leiria",5676-296,10/03/1983,lisandro.cardoso@yahoo.com
Adriana Cruz,Eletricista,Casado,Feminino,Braga,Cabeceiras de Basto,973090691,"Av de Henriques, 859
4386-852 Loulé",9346-273,30/07/1982,adriana.cruz@hotmail.com
Ivo Borges,Programador,Viúvo,Masculino,Beja,Beja,965882898,"Alameda de Faria, 26
0658-999 Mirandela",2615-282,14/07/1991,ivo.borges@outlook.com
Diego Garcia,Psicólogo,Solteiro,Masculino,Vila Real,Valpaços,909542965,"Av Eva Cardoso, 29
4383-330 Setúbal",4436-517,23/11/1989,diego.garcia@outlook.com
Erika Freitas,Rececionista,Divorciado,Feminino,Braga,Fafe,996792392,"Avenida Eduardo Carvalho, 78
6344-002 Alcácer do Sal",5888-549,14/12/1976,erika.freitas@hotmail.com
Petra Nogueira-Martins,Gestor de Projetos,Solteiro,Feminino,Setúbal,Seixal,911634602,"Avenida Araújo, S/N
4018-130 Porto Santo",0520-527,25/01/1968,petra.nogueira-martins@hotmail.com
Mário Ribeiro-Moura,Advogado,Divorciado,Masculino,Porto,Valongo,902844155,"Av de Guerreiro, 151
0165-357 Odivelas",9109-948,07/10/1985,mário.ribeiro-moura@outlook.com
André da Azevedo,Designer Gráfico,Solteiro,Masculino,Castelo Branco,Fundão,984523898,"Av de Nascimento, 49
8743-159 Lourosa",7333-110,07/08/1971,andré.azevedo@gmail.com
Gonçalo Rodrigues,Empregado de Limpeza,Viúvo,Masculino,Viseu,Nelas,916948976,"Rua Reis, 39
5018-470 Oliveira de Azeméis",1875-172,03/08/1969,gonçalo.rodrigues@yahoo.com
Patrícia Brito,Rececionista,Viúvo,Feminino,Braga,Barcelos,994379901,"R. da Rainha D. Leonor, 385
4819-267 Évora",5821-828,06/04/1970,patrícia.brito@yahoo.com
Nicole-Carolina Ribeiro,Programador,Viúvo,Feminino,Braga,Braga,911205100,"Travessa de Faria, 7
1010-997 Cantanhede",7036-885,31/10/1991,nicole-carolina.ribeiro@hotmail.com
Simão Araújo,Advogado,Divorciado,Masculino,Braga,Guimarães,944895303,"Largo Pinto, S/N
3761-808 Gouveia",7935-925,02/08/2003,simão.araújo@hotmail.com
David Tavares,Aposentado,Divorciado,Masculino,Braga,Celorico de Basto,924183368,"Av de Pinheiro, 929
5757-022 Tomar",0659-276,22/09/1951,david.tavares@sapo.pt
Carolina Soares,Gestor de Projetos,Divorciado,Feminino,Braga,Guimarães,971923821,"Av das Âncoras, 28
4434-823 Fundão",8870-807,07/04/1999,carolina.soares@hotmail.com
Bruno Cruz,Programador,Viúvo,Masculino,Porto,Santo Tirso,972060580,"Travessa de Valente, S/N
4303-354 Seia",2915-779,07/04/1992,bruno.cruz@hotmail.com
Gil Pinho,Carpinteiro,Viúvo,Masculino,Braga,Esposende,940340225,"Av Pinheiro, 6
4023-109 Rio Tinto",4664-135,04/07/1985,gil.pinho@outlook.com
Vitória Matos,Engenheiro,Viúvo,Feminino,Braga,Celorico de Basto,960178910,"Travessa Flor Ferreira, 60
7356-883 Alverca do Ribatejo",9210-901,13/07/1984,vitória.matos@yahoo.com
Joaquim Araújo,Eletricista,Divorciado,Masculino,Leiria,Óbidos,919827531,"Praça Castro, 8
1480-454 Santana",3123-289,23/07/1990,joaquim.araújo@sapo.pt
Lisandro Fonseca-Guerreiro,Comerciante,Viúvo,Masculino,Braga,Esposende,931155594,"R. do Aleixo, 54
2875-800 Mangualde",8443-649,07/02/1975,lisandro.fonseca-guerreiro@gmail.com
Salomé da Azevedo,Analista de Dados,Solteiro,Feminino,Aveiro,Oliveira de Azeméis,977283361,"Praça Sá, 56
3462-644 Espinho",7276-789,06/11/2002,salomé.azevedo@hotmail.com
Igor Miranda,Cozinheiro,Divorciado,Masculino,Coimbra,Oliveira do Hospital,906066278,"Rua de Barbosa, S/N
9934-542 Caniço",9381-561,20/05/1989,igor.miranda@yahoo.com
Lourenço Vicente,Cozinheiro,Casado,Masculino,Braga,Amares,928369094,"Praça do Maestro Resende Dias, S/N
2581-320 Vila Nova de Famalicão",5678-599,06/06/1997,lourenço.vicente@hotmail.com
Júlia-Núria Pacheco,Psicólogo,Solteiro,Feminino,Braga,Guimarães,956155075,"Travessa do Mar, 438
7317-081 Sacavém",9661-173,23/05/1967,júlia-núria.pacheco@gmail.com
Emília Ferreira,Comerciante,Casado,Feminino,Castelo Branco,Sertã,980578343,"Largo do Preto, S/N
9016-556 Anadia",5924-607,10/12/1993,emília.ferreira@hotmail.com
Luciana Martins,Analista de Dados,Viúvo,Feminino,Viseu,Carregal do Sal,965454281,"Avenida Cardoso, 9
8537-533 Mangualde",9105-679,08/06/1972,luciana.martins@yahoo.com
Bárbara Carvalho,Programador,Casado,Feminino,Braga,Guimarães,968033192,"Av Lopes, 45
4064-227 Funchal",4954-839,04/09/1981,bárbara.carvalho@yahoo.com
Ângelo Matias,Farmacêutico,Viúvo,Masculino,Castelo Branco,Vila Velha de Ródão,943349115,"Alameda Matilde Vicente, 89
0700-079 Oliveira do Bairro",1705-364,28/08/1999,ângelo.matias@outlook.com
Paulo Azevedo,Técnico de Marketing,Solteiro,Masculino,Viana do Castelo,Melgaço,920526264,"Praça Santos, 62
5646-423 Sintra",0954-066,17/12/1969,paulo.azevedo@yahoo.com
Flor Nunes,Farmacêutico,Solteiro,Feminino,Viana do Castelo,Arcos de Valdevez,923040523,"Av de Dom Fradique, S/N
8710-235 Aveiro",8614-665,04/11/1987,flor.nunes@sapo.pt
Igor Antunes,Engenheiro,Solteiro,Masculino,Braga,Vizela,912754575,"Avenida do Longo, 793
9717-268 Moura",2984-366,04/06/1999,igor.antunes@sapo.pt
Yara-Mia Figueiredo,Aposentado,Divorciado,Feminino,Braga,Cabeceiras de Basto,979424209,"Largo Machado, 17
2053-627 Valongo",9925-748,25/05/1955,yara-mia.figueiredo@sapo.pt
Francisco do Coelho,Cozinheiro,Viúvo,Masculino,Braga,Vila Nova de Famalicão,938690384,"Rua de Almeida, 302
0824-163 Castelo Branco",8948-986,01/08/1965,francisco.coelho@yahoo.com
Ismael Marques,Psicólogo,Viúvo,Masculino,Viana do Castelo,Monção,994370968,"R. Cunha, 8
7760-439 Montijo",0878-412,23/07/1977,ismael.marques@outlook.com
Denis Cardoso,Eletricista,Solteiro,Masculino,Viana do Castelo,Ponte da Barca,967316517,"R. das Oliveiras, 91
7466-651 Silves",6889-985,18/10/1970,denis.cardoso@outlook.com
Fernando Fonseca,Analista de Dados,Divorciado,Masculino,Porto,Gondomar,994487933,"Av Garcia de Orta ao Parque das Nações, 111
3659-391 Peniche",7983-198,01/06/1994,fernando.fonseca@yahoo.com
Valentim de Lourenço,Carpinteiro,Viúvo,Masculino,Vila Real,Vila Pouca de Aguiar,937741150,"Avenida Miranda, S/N
3632-060 Alverca do Ribatejo",9973-967,23/03/1967,valentim.lourenço@yahoo.com
Pedro Miranda,Estudante,Casado,Masculino,Viana do Castelo,Ponte de Lima,974367515,"Avenida de Garcia, 60
5918-260 Albufeira",7644-736,07/06/2002,pedro.miranda@gmail.com
Débora Assunção,Psicólogo,Divorciado,Feminino,Lisboa,Oeiras,959497759,"Alameda da Ilha do Ferro, 35
9220-149 São Mamede de Infesta",1471-369,12/06/2002,débora.assunção@gmail.com
Mateus Pacheco,Farmacêutico,Viúvo,Masculino,Braga,Vizela,984577297,"Av Constança Fonseca, 3
1155-314 Caniço",2742-634,23/10/1989,mateus.pacheco@sapo.pt
Victória Cardoso,Aposentado,Viúvo,Feminino,Porto,Amarante,967543025,"Travessa de Barros, 2
4967-908 Trofa",4191-491,10/07/1957,victória.cardoso@hotmail.com
Carminho Andrade,Enfermeiro,Viúvo,Feminino,Braga,Barcelos,948885900,"Alameda Nádia Cunha, 176
3761-330 Penafiel",1249-007,20/03/1988,carminho.andrade@sapo.pt
Afonso do Azevedo,Comerciante,,Masculino,Portalegre,Marvão,995317818,"Av de Adelino Amaro da Costa, 800
5268-889 Santa Maria da Feira",9088-854,01/09/1966,afonso.azevedo@outlook.com
Eduardo Martins,Programador,Solteiro,Masculino,Porto,Amarante,933574933,"R. Barbosa, 737
0548-392 Câmara de Lobos",2191-764,23/03/1967,eduardo.martins@gmail.com
Filipa Pires-Correia,Eletricista,Viúvo,Feminino,Braga,Cabeceiras de Basto,916338570,"R. Joaquim Azevedo, 315
1095-354 Moura",3097-184,23/03/1966,filipa.pires-correia@yahoo.com
Nádia Matias,Aposentado,Viúvo,Feminino,Braga,Vizela,949603979,"Alameda Renata Vieira, 20
6894-265 Montijo",6259-953,05/07/1957,nádia.matias@gmail.com
Yara Nogueira,Agricultor,Viúvo,Feminino,Braga,Braga,921895615,"Avenida Mara Jesus, 84
6322-330 Fiães",5826-709,11/03/1995,yara.nogueira@gmail.com
Eduardo Rocha,Programador,Solteiro,Masculino,Portalegre,Arronches,989319538,"R. Vicente Domingues, 38
8345-456 Quarteira",5273-130,04/04/1994,eduardo.rocha@sapo.pt
Sérgio da Pacheco,Empregado de Limpeza,Solteiro,Masculino,Coimbra,Cantanhede,957207391,"Av Araújo, 49
4680-514 Anadia",0848-223,02/04/1996,sérgio.pacheco@yahoo.com
Daniel Cruz-Coelho,Psicólogo,Divorciado,Masculino,Setúbal,Moita,968298270,"R. dos Moinhos, S/N
9922-065 Ponte de Sor",1280-819,30/10/1990,daniel.cruz-coelho@gmail.com
Nelson Domingues,Motorista,Divorciado,Masculino,Braga,Esposende,937872156,"Rua Ernesto Veiga de Oliveira, 882
1131-524 Estarreja",8178-695,31/12/1983,nelson.domingues@yahoo.com
Jaime Sá,Psicólogo,Solteiro,Masculino,Viseu,Tondela,901042169,"Travessa Afonso Macedo, 5
1747-577 Vila Nova de Gaia",7486-250,31/03/2000,jaime.sá@outlook.com
Fernando Abreu-Paiva,Estudante,Solteiro,Masculino,Coimbra,Montemor-o-Velho,934940562,"Rua de Vicente, S/N
8307-378 Maia",5144-050,02/03/2009,fernando.abreu-paiva@outlook.com
Carlos Branco-Almeida,Agricultor,Solteiro,Masculino,Braga,Celorico de Basto,916577908,"Travessa Miranda, 63
1865-407 Praia da Vitória",8443-666,02/01/1970,carlos.branco-almeida@gmail.com
Marta Vieira,Designer Gráfico,Casado,Feminino,Braga,Barcelos,955344117,"Av Rocha, 98
0488-825 Trancoso",6230-489,08/01/1996,marta.vieira@outlook.com
Rafael Esteves,Programador,Divorciado,Masculino,Portalegre,Portalegre,925490895,"R. Frederico Cunha, 95
2645-304 Caldas da Rainha",0450-304,24/07/1998,rafael.esteves@gmail.com
Inês Assunção,Professor,Divorciado,Feminino,Porto,Porto,947632694,"Av Alfredo Keil, 90
6294-792 Ponte de Sor",4895-846,21/04/1975,inês.assunção@sapo.pt
Maria-Maria Correia,Eletricista,Viúvo,Feminino,Porto,Matosinhos,942935652,"Av Campos, 375
0228-938 Matosinhos",4249-097,22/03/1983,maria-maria.correia@hotmail.com
Tomás Henriques,Engenheiro,Divorciado,Masculino,Porto,Amarante,959262599,"Av de Simões, 962
6355-805 Macedo de Cavaleiros",7414-706,20/03/1980,tomás.henriques@gmail.com
Jaime Freitas,Advogado,Casado,Masculino,Braga,Guimarães,945934829,"Praça Nádia Gomes, S/N
6974-896 Amora",0906-137,03/06/2003,jaime.freitas@sapo.pt
André Carneiro,Advogado,Solteiro,Masculino,Lisboa,Oeiras,963705020,"Avenida Vicente, 17
9397-953 Praia da Vitória",7771-274,28/02/1986,andré.carneiro@yahoo.com
Valentim Faria,Analista de Dados,Divorciado,Masculino,Viana do Castelo,Valença,963536912,"Rua de Carvalho, 76
1162-956 Guarda",2724-631,30/06/1993,valentim.faria@yahoo.com
Dinis Pinho,Professor,Casado,Masculino,Braga,Vila Nova de Famalicão,901831666,"Praça de Figueiredo, S/N
2805-692 Lagoa",2880-747,08/03/1990,dinis.pinho@outlook.com
Juliana-Nicole Martins,Enfermeiro,Viúvo,Feminino,Vila Real,Valpaços,925899643,"Alameda de Carvalho, 88
0542-522 Lisboa",0707-098,18/11/1999,juliana-nicole.martins@yahoo.com
Jaime Pereira,Contabilista,Casado,Masculino,Vila Real,Chaves,981223644,"Praça Patrícia Garcia, 467
0024-006 Vila do Conde",6788-619,15/08/1974,jaime.pereira@yahoo.com
Salvador Castro,Psicólogo,Viúvo,Masculino,Aveiro,Aveiro,955976433,"Rua Renata Domingues, 485
9919-985 Amadora",7191-038,14/10/2001,salvador.castro@outlook.com
Melissa Gonçalves,Aposentado,Casado,Feminino,Vila Real,Mesão Frio,947872138,"Av Silva Porto, 4
9325-894 Espinho",6538-114,12/01/1961,melissa.gonçalves@sapo.pt
Enzo Figueiredo-Andrade,Advogado,Divorciado,Masculino,Braga,Vila Nova de Famalicão,905067714,"R. de Castro, S/N
2720-644 Olhão",1826-697,26/11/1967,enzo.figueiredo-andrade@sapo.pt
Andreia Henriques,Médico,Divorciado,Feminino,Vila Real,Vila Pouca de Aguiar,980380772,"Praça Luísa Gaspar, 8
5635-321 Tavira",1046-672,18/03/1979,andreia.henriques@yahoo.com
Ana Moreira,Técnico de Marketing,Viúvo,Feminino,Porto,Porto,964834889,"Rua de Jesus, 13
1190-153 Agualva-Cacém",3338-861,09/04/1984,ana.moreira@gmail.com
Andreia de Martins,Programador,Solteiro,Feminino,Braga,Guimarães,962383090,"R. Tatiana Domingues, 52
1455-018 Lourosa",4856-488,30/04/1975,andreia.martins@sapo.pt
