Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,DataNascimento,Email,customer_id
Tomás Domingues,Farmacêutico,Casado,Masculino,Braga,Fafe,19/11/1972,tomás.domingues@gmail.com,C1084
Bryan Melo,Motorista,Divorciado,Masculino,Braga,Fafe,24/08/1987,bryan.melo@gmail.com,C1085
Santiago Freitas-Cardoso,Analista de Dados,Divorciado,Masculino,Braga,Amares,01/11/1995,santiago.freitas-cardoso@sapo.pt,C1086
Caetana Guerreiro,Eletricista,Solteiro,Feminino,Guarda,Trancoso,20/04/1967,caetana.guerreiro@yahoo.com,C1087
Bruno Cunha,Técnico de Marketing,Divorciado,Masculino,Braga,Cabeceiras de Basto,02/09/1993,bruno.cunha@gmail.com,C1088
Rita Cunha-Fonseca,Arquiteto,Viúvo,Feminino,Viseu,Castro Daire,23/11/2001,rita.cunha-fonseca@outlook.com,C1089
Tomé Sousa,Empregado de Limpeza,Divorciado,Masculino,Braga,Barcelos,06/12/1987,tomé.sousa@outlook.com,C1090
Sérgio Magalhães,Designer Gráfico,Casado,Masculino,Braga,Cabeceiras de Basto,15/09/1972,sérgio.magalhães@outlook.com,C1091
Renato Leal,Médico,Divorciado,Masculino,Coimbra,Soure,07/09/1995,renato.leal@hotmail.com,C1092
Ana Faria,Estudante,Divorciado,Feminino,Setúbal,Alcácer do Sal,18/05/1953,ana.faria@outlook.com,C1093
Luís Simões,Agricultor,Viúvo,Masculino,Porto,Amarante,01/11/1977,luís.simões@yahoo.com,C1094
Ema Tavares,Motorista,Solteiro,Feminino,Porto,Vila Nova de Gaia,26/12/1976,ema.tavares@sapo.pt,C1095
Vítor Araújo-Oliveira,Carpinteiro,Divorciado,Masculino,Braga,Guimarães,22/11/1994,vítor.araújo-oliveira@gmail.com,C1096
César Neves,Psicólogo,Viúvo,Masculino,Leiria,Marinha Grande,01/03/1993,césar.neves@outlook.com,C1097
Paulo Cruz,Motorista,Viúvo,Masculino,Aveiro,Santa Maria da Feira,21/08/1994,paulo.cruz@outlook.com,C1098
Miriam Coelho-Neves,Cozinheiro,Divorciado,Feminino,Viana do Castelo,Valença,26/02/1990,miriam.coelho-neves@hotmail.com,C1099
Denis Gaspar,Empregado de Limpeza,Viúvo,Masculino,Santarém,Abrantes,21/05/2001,denis.gaspar@yahoo.com,C1100
Luna Amaral,Médico,Casado,Feminino,Braga,Fafe,11/06/2000,luna.amaral@yahoo.com,C1101
Nádia Coelho,Empregado de Limpeza,Viúvo,Feminino,Porto,Santo Tirso,11/01/1981,nádia.coelho@gmail.com,C1102
Flor Torres,Motorista,Divorciado,Feminino,Viana do Castelo,Vila Nova de Cerveira,05/12/1990,flor.torres@gmail.com,C1103
Fábio Branco,Engenheiro,Casado,Masculino,Viana do Castelo,Melgaço,08/07/1974,fábio.branco@hotmail.com,C1104
Erica Barros,Gestor de Projetos,Casado,Feminino,Aveiro,Albergaria-a-Velha,24/09/1975,erica.barros@outlook.com,C1105
Clara do Torres,Arquiteto,Divorciado,Feminino,Guarda,Guarda,31/10/1999,clara.torres@gmail.com,C1106
António Figueiredo-Santos,Enfermeiro,Divorciado,Masculino,Porto,Felgueiras,21/04/2002,antónio.figueiredo-santos@hotmail.com,C1107
Érica Cunha,Advogado,Casado,Feminino,Santarém,Abrantes,19/03/1999,érica.cunha@yahoo.com,C1108
Luna Borges,Eletricista,Solteiro,Feminino,Lisboa,Mafra,23/06/1967,luna.borges@sapo.pt,C1109
Alice Almeida,Cozinheiro,Solteiro,Feminino,Braga,Cabeceiras de Basto,21/10/1998,alice.almeida@outlook.com,C1110
Tiago do Pacheco,Designer Gráfico,Viúvo,Masculino,Braga,Guimarães,12/01/1968,tiago.pacheco@outlook.com,C1111
Nair-Ariana Rocha,Agricultor,Viúvo,Feminino,Bragança,Vinhais,16/02/1980,nair-ariana.rocha@sapo.pt,C1112
Erika Gonçalves,Arquiteto,Solteiro,Feminino,Braga,Barcelos,19/08/1974,erika.gonçalves@sapo.pt,C1113
Emanuel Amaral,Designer Gráfico,Casado,Masculino,Braga,Guimarães,07/07/1978,emanuel.amaral@hotmail.com,C1114
Noah Barros-Lopes,Designer Gráfico,Solteiro,Masculino,Vila Real,Vila Real,15/10/1994,noah.barros-lopes@sapo.pt,C1115
Letícia Silva,Carpinteiro,Viúvo,Feminino,Beja,Aljustrel,21/08/1998,letícia.silva@yahoo.com,C1116
Eva Sousa,Estudante,Viúvo,Feminino,Setúbal,Montijo,13/04/2006,eva.sousa@sapo.pt,C1117
Noah Borges,Empregado de Limpeza,Solteiro,Masculino,Porto,Gondomar,28/02/2005,noah.borges@hotmail.com,C1118
Renato Gomes,Empregado de Limpeza,Viúvo,Masculino,Aveiro,Murtosa,27/02/1985,renato.gomes@hotmail.com,C1119
Filipe Guerreiro,Engenheiro,Casado,Masculino,Porto,Vila Nova de Gaia,02/04/1981,filipe.guerreiro@gmail.com,C1120
Sara Domingues,Cozinheiro,Casado,Feminino,Vila Real,Alijó,11/01/1985,sara.domingues@sapo.pt,C1121
Rui de Carvalho,Farmacêutico,Casado,Masculino,Santarém,Tomar,03/01/1986,rui.carvalho@hotmail.com,C1122
Rúben Vaz,Agricultor,Divorciado,Masculino,Braga,Esposende,27/10/2003,rúben.vaz@outlook.com,C1123
Lúcia Torres,Analista de Dados,Solteiro,Feminino,Braga,Braga,19/03/1983,lúcia.torres@outlook.com,C1124
Irina Neves,Rececionista,Viúvo,Feminino,Lisboa,Mafra,17/03/1966,irina.neves@gmail.com,C1125
Isabela Oliveira-Pinheiro,Arquiteto,Solteiro,Feminino,Viana do Castelo,Melgaço,23/09/1972,isabela.oliveira-pinheiro@hotmail.com,C1126
Larissa Pinto,Rececionista,Solteiro,Feminino,Braga,Barcelos,05/05/1980,larissa.pinto@sapo.pt,C1127
Joana Santos,Designer Gráfico,Viúvo,Feminino,Vila Real,Boticas,13/03/1991,joana.santos@sapo.pt,C1128
Carminho Leal,Psicólogo,Casado,Feminino,Vila Real,Mondim de Basto,18/10/1978,carminho.leal@yahoo.com,C1129
Bruno Pacheco,Contabilista,Solteiro,Masculino,Braga,Esposende,20/11/1979,bruno.pacheco@hotmail.com,C1130
Nicole Almeida-Amorim,Arquiteto,Casado,Feminino,Viana do Castelo,Melgaço,23/08/1978,nicole.almeida-amorim@hotmail.com,C1131
Camila Monteiro,Carpinteiro,Solteiro,Feminino,Braga,Esposende,10/07/1990,camila.monteiro@gmail.com,C1132
Yasmin Domingues,Técnico de Marketing,Divorciado,Feminino,Braga,Braga,07/05/1985,yasmin.domingues@gmail.com,C1133
Gonçalo Antunes,Cozinheiro,Divorciado,Masculino,Braga,Fafe,10/11/1988,gonçalo.antunes@gmail.com,C1134
Gustavo Loureiro,Advogado,Casado,Masculino,Guarda,Figueira de Castelo Rodrigo,17/03/1985,gustavo.loureiro@sapo.pt,C1135
David Mota,Rececionista,Viúvo,Masculino,Santarém,Cartaxo,03/08/2004,david.mota@outlook.com,C1136
Rodrigo de Vicente,Psicólogo,Solteiro,Masculino,Porto,Vila Nova de Gaia,22/12/1996,rodrigo.vicente@gmail.com,C1137
Amélia Brito-Morais,Estudante,Viúvo,Feminino,Braga,Barcelos,05/09/2008,amélia.brito-morais@outlook.com,C1138
Irina Fonseca-Fernandes,Enfermeiro,Solteiro,Feminino,Viseu,Viseu,02/06/2003,irina.fonseca-fernandes@outlook.com,C1139
Tomé Barbosa,Empregado de Limpeza,Divorciado,Masculino,Vila Real,Peso da Régua,24/09/1979,tomé.barbosa@hotmail.com,C1140
Nádia-Lúcia Leite,Professor,Solteiro,Feminino,Aveiro,Ovar,11/02/1972,nádia-lúcia.leite@gmail.com,C1141
Irina Esteves,Carpinteiro,Viúvo,Feminino,Porto,Vila Nova de Gaia,10/05/1978,irina.esteves@yahoo.com,C1142
Renato Ramos,Médico,Divorciado,Masculino,Aveiro,Murtosa,22/02/1992,renato.ramos@outlook.com,C1143
Marco de Lourenço,Designer Gráfico,Solteiro,Masculino,Braga,Braga,04/05/1982,marco.lourenço@yahoo.com,C1144
Henrique Maia,Analista de Dados,Casado,Masculino,Setúbal,Moita,27/08/1978,henrique.maia@gmail.com,C1145
Nicole de Antunes,Designer Gráfico,Casado,Feminino,Coimbra,Soure,28/07/1983,nicole.antunes@yahoo.com,C1146
Benjamim Jesus,Médico,Casado,Masculino,Braga,Guimarães,23/03/2005,benjamim.jesus@gmail.com,C1147
Yasmin Guerreiro,Arquiteto,Casado,Feminino,Aveiro,Estarreja,08/02/1998,yasmin.guerreiro@sapo.pt,C1148
Edgar Oliveira,Comerciante,Solteiro,Masculino,Braga,Celorico de Basto,24/12/1965,edgar.oliveira@outlook.com,C1149
Vitória Gonçalves,Designer Gráfico,Solteiro,Feminino,Braga,Celorico de Basto,15/06/1998,vitória.gonçalves@gmail.com,C1150
Kyara Batista,Enfermeiro,Viúvo,Feminino,Braga,Guimarães,18/04/2005,kyara.batista@gmail.com,C1151
David Garcia,Enfermeiro,Casado,Masculino,Braga,Amares,22/12/1984,david.garcia972@hotmail.com,C1152
Duarte Cardoso,Empregado de Limpeza,Solteiro,Masculino,Faro,Loulé,24/02/1968,duarte.cardoso@hotmail.com,C1153
Bryan Araújo,Médico,Casado,Masculino,Bragança,Miranda do Douro,18/10/1992,bryan.araújo@sapo.pt,C1154
Bruno Leite,Arquiteto,Solteiro,Masculino,Aveiro,Santa Maria da Feira,18/10/1986,bruno.leite@yahoo.com,C1155
Lara Mendes-Freitas,Aposentado,Casado,Feminino,Viseu,Lamego,02/05/1955,lara.mendes-freitas@sapo.pt,C1156
William Esteves-Borges,Estudante,Viúvo,Masculino,Setúbal,Seixal,30/05/2008,william.esteves-borges@hotmail.com,C1157
Daniel Sá,Motorista,Solteiro,Masculino,Porto,Porto,25/09/1973,daniel.sá@sapo.pt,C1158
Kevin Fonseca,Empregado de Limpeza,Casado,Masculino,Viana do Castelo,Ponte de Lima,29/10/1993,kevin.fonseca@gmail.com,C1159
Xavier Simões,Analista de Dados,Viúvo,Masculino,Beja,Ourique,26/05/1983,xavier.simões@gmail.com,C1160
Mara Brito,Contabilista,Viúvo,Feminino,Leiria,Porto de Mós,05/04/1972,mara.brito@hotmail.com,C1161
Beatriz Domingues,Analista de Dados,Divorciado,Feminino,Braga,Celorico de Basto,11/11/1987,beatriz.domingues@gmail.com,C1162
Lara Correia,Médico,Divorciado,Feminino,Braga,Braga,11/09/1986,lara.correia@yahoo.com,C1163
William Neves,Gestor de Projetos,Casado,Masculino,Porto,Valongo,24/12/1975,william.neves@hotmail.com,C1164
Vicente Leite,Rececionista,Casado,Masculino,Braga,Cabeceiras de Basto,25/07/1993,vicente.leite@yahoo.com,C1165
Yasmin Carvalho,Agricultor,Divorciado,Feminino,Braga,Barcelos,30/12/1996,yasmin.carvalho@hotmail.com,C1166
Vasco Costa,Motorista,Divorciado,Masculino,Porto,Vila Nova de Gaia,23/10/2001,vasco.costa@outlook.com,C1167
Núria Borges,Agricultor,Casado,Feminino,Aveiro,Estarreja,09/09/1983,núria.borges@hotmail.com,C1168
Ricardo Moreira,Estudante,Divorciado,Masculino,Vila Real,Boticas,18/03/2006,ricardo.moreira@outlook.com,C1169
Erika-Naiara Gaspar,Comerciante,Divorciado,Feminino,Braga,Esposende,14/12/1975,erika-naiara.gaspar@sapo.pt,C1170
António Gonçalves,Rececionista,Solteiro,Masculino,Castelo Branco,Belmonte,23/05/1979,antónio.gonçalves@hotmail.com,C1171
Martim Nunes,Empregado de Limpeza,Divorciado,Masculino,Guarda,Sabugal,15/03/1981,martim.nunes@sapo.pt,C1172
Kyara Torres,Técnico de Marketing,Divorciado,Feminino,Braga,Cabeceiras de Basto,25/11/1993,kyara.torres@sapo.pt,C1173
Enzo de Leite,Engenheiro,Viúvo,Masculino,Vila Real,Mondim de Basto,17/11/1987,enzo.leite@sapo.pt,C1174
Anita de Leite,Estudante,Viúvo,Feminino,Vila Real,Mondim de Basto,15/02/2007,anita.leite@gmail.com,C1175
Mafalda Abreu,Advogado,Divorciado,Feminino,Viana do Castelo,Vila Nova de Cerveira,09/10/1982,mafalda.abreu@yahoo.com,C1176
Beatriz-Nair Anjos,Enfermeiro,Viúvo,Feminino,Braga,Guimarães,12/03/1972,beatriz-nair.anjos@sapo.pt,C1177
Bruna Pires,Aposentado,Divorciado,Feminino,Braga,Celorico de Basto,04/01/1948,bruna.pires@hotmail.com,C1178
Dinis Amorim,Cozinheiro,Divorciado,Masculino,Braga,Amares,29/10/1985,dinis.amorim@gmail.com,C1179
Amélia Sá,Empregado de Limpeza,Viúvo,Feminino,Bragança,Vimioso,04/06/1989,amélia.sá@outlook.com,C1180
Leandro Reis,Agricultor,Solteiro,Masculino,Braga,Esposende,10/08/1965,leandro.reis@outlook.com,C1181
Carminho Garcia,Motorista,Casado,Feminino,Viseu,Lamego,31/03/1991,carminho.garcia@yahoo.com,C1182
Brian Freitas,Advogado,Viúvo,Masculino,Leiria,Nazaré,11/02/1973,brian.freitas@outlook.com,C1183
Tomé Alves-Fernandes,Farmacêutico,Divorciado,Masculino,Vila Real,Boticas,17/08/1971,tomé.alves-fernandes@gmail.com,C1184
Miriam Silva,Carpinteiro,Viúvo,Feminino,Viana do Castelo,Vila Nova de Cerveira,03/03/1999,miriam.silva@outlook.com,C1185
Isaac Paiva,Estudante,Viúvo,Masculino,Viana do Castelo,Valença,26/08/2001,isaac.paiva@gmail.com,C1186
Miriam do Correia,Cozinheiro,Divorciado,Feminino,Braga,Braga,23/08/1994,miriam.correia@sapo.pt,C1187
Gabriel Magalhães,Psicólogo,Viúvo,Masculino,Coimbra,Arganil,02/03/1982,gabriel.magalhães@outlook.com,C1188
Frederico Pires-Matias,Técnico de Marketing,Casado,Masculino,Viseu,Carregal do Sal,19/04/1993,frederico.pires-matias@sapo.pt,C1189
Sandro Rodrigues,Rececionista,Solteiro,Masculino,Aveiro,Estarreja,01/03/1981,sandro.rodrigues@sapo.pt,C1190
Emma-Letícia Sousa,Eletricista,Solteiro,Feminino,Braga,Barcelos,27/05/1992,emma-letícia.sousa@gmail.com,C1191
Wilson da Gomes,Professor,Viúvo,Masculino,Porto,Amarante,14/07/2004,wilson.gomes@sapo.pt,C1192
Enzo Reis,Psicólogo,Viúvo,Masculino,Braga,Celorico de Basto,30/04/1980,enzo.reis@hotmail.com,C1193
Kelly Ribeiro,Gestor de Projetos,Viúvo,Feminino,Braga,Esposende,19/06/1985,kelly.ribeiro@yahoo.com,C1194
Rui do Neto,Advogado,Divorciado,Masculino,Vila Real,Peso da Régua,16/10/1983,rui.neto@yahoo.com,C1195
Tatiana Brito,Gestor de Projetos,Divorciado,Feminino,Porto,Gondomar,20/06/1987,tatiana.brito@outlook.com,C1196
Artur do Nascimento,Analista de Dados,Viúvo,Masculino,Viseu,Sátão,30/10/1997,artur.nascimento@yahoo.com,C1197
Íris Amaral,Estudante,Viúvo,Feminino,Viana do Castelo,Caminha,11/04/2002,íris.amaral@hotmail.com,C1198
Beatriz Cardoso,Contabilista,Viúvo,Feminino,Lisboa,Alenquer,19/09/1984,beatriz.cardoso@hotmail.com,C1199
Salomé Oliveira-Borges,Advogado,Viúvo,Feminino,Braga,Braga,25/08/1991,salomé.oliveira-borges@gmail.com,C1200
Leonardo da Nunes,Rececionista,Divorciado,Masculino,Bragança,Vinhais,12/01/1995,leonardo.nunes@outlook.com,C1201
Bruna Jesus,Técnico de Marketing,Divorciado,Feminino,Lisboa,Lisboa,17/05/1969,bruna.jesus@outlook.com,C1202
Miguel Rodrigues,Aposentado,Solteiro,Masculino,Vila Real,Sabrosa,22/06/1951,miguel.rodrigues@outlook.com,C1203
Bianca Batista,Advogado,Divorciado,Feminino,Setúbal,Alcácer do Sal,08/07/1994,bianca.batista@outlook.com,C1204
Rodrigo Faria,Gestor de Projetos,Casado,Masculino,Braga,Esposende,06/12/1992,rodrigo.faria@outlook.com,C1205
Amélia Gaspar,Programador,Casado,Feminino,Guarda,Almeida,05/11/1997,amélia.gaspar@hotmail.com,C1206
Mário Domingues,Carpinteiro,Divorciado,Masculino,Vila Real,Alijó,18/11/2001,mário.domingues@gmail.com,C1207
Frederico Loureiro,Aposentado,Viúvo,Masculino,Setúbal,Palmela,17/03/1956,frederico.loureiro@outlook.com,C1208
Kevin Tavares,Eletricista,Solteiro,Masculino,Braga,Braga,11/04/1992,kevin.tavares@hotmail.com,C1209
Luísa-Tatiana Garcia,Arquiteto,Casado,Feminino,Porto,Gondomar,10/09/1977,luísa-tatiana.garcia@outlook.com,C1210
Violeta Lima,Enfermeiro,Solteiro,Feminino,Porto,Porto,03/08/1967,violeta.lima@sapo.pt,C1211
Letícia Valente-Fernandes,Cozinheiro,Casado,Feminino,Lisboa,Vila Franca de Xira,17/05/1983,letícia.valente-fernandes@yahoo.com,C1212
Rafael Araújo,Gestor de Projetos,Divorciado,Masculino,Braga,Celorico de Basto,18/04/1970,rafael.araújo@sapo.pt,C1213
Nádia Machado,Cozinheiro,Divorciado,Feminino,Guarda,Manteigas,29/02/1984,nádia.machado@gmail.com,C1214
Yasmin-Teresa Lopes,Gestor de Projetos,Solteiro,Feminino,Braga,Guimarães,10/02/1998,yasmin-teresa.lopes@outlook.com,C1215
Brian da Mota,Professor,Casado,Masculino,Guarda,Guarda,26/05/1975,brian.mota@outlook.com,C1216
Denis Pinto,Eletricista,Solteiro,Masculino,Braga,Cabeceiras de Basto,03/07/1981,denis.pinto@yahoo.com,C1217
Alice Mendes-Matias,Gestor de Projetos,Viúvo,Feminino,Viana do Castelo,Ponte de Lima,16/05/1966,alice.mendes-matias@sapo.pt,C1218
Kévim de Nogueira,Empregado de Limpeza,Viúvo,Masculino,Aveiro,Anadia,18/09/1984,kévim.nogueira@outlook.com,C1219
César Miranda,Eletricista,Casado,Masculino,Guarda,Aguiar da Beira,23/11/1983,césar.miranda@outlook.com,C1220
Íris Gaspar,Carpinteiro,Divorciado,Feminino,Lisboa,Sintra,22/09/1986,íris.gaspar@sapo.pt,C1221
Rafael da Leite,Estudante,Casado,Masculino,Vila Real,Mondim de Basto,25/08/2007,rafael.leite@outlook.com,C1222
Mafalda Baptista,Eletricista,Casado,Feminino,Porto,Maia,09/12/2002,mafalda.baptista@yahoo.com,C1223
Joel Anjos,Médico,Casado,Masculino,Aveiro,Águeda,30/11/1984,joel.anjos@hotmail.com,C1224
Márcio Nogueira,Programador,Casado,Masculino,Lisboa,Loures,27/07/1988,márcio.nogueira@outlook.com,C1225
Tiago Tavares,Analista de Dados,Casado,Masculino,Braga,Guimarães,28/10/1978,tiago.tavares@outlook.com,C1226
Fabiana Baptista,Motorista,Viúvo,Feminino,Bragança,Alfândega da Fé,27/11/1987,fabiana.baptista@gmail.com,C1227
Wilson Ramos,Técnico de Marketing,Divorciado,Masculino,Viana do Castelo,Viana do Castelo,13/09/1976,wilson.ramos@hotmail.com,C1228
Valentina Barros,Estudante,Casado,Feminino,Santarém,Tomar,13/03/2009,valentina.barros@hotmail.com,C1229
Ariana Fonseca,Designer Gráfico,Viúvo,Feminino,Vila Real,Vila Pouca de Aguiar,20/09/1979,ariana.fonseca@gmail.com,C1230
Miguel Carvalho-Borges,Agricultor,Divorciado,Masculino,Braga,Vizela,29/06/1983,miguel.carvalho-borges@yahoo.com,C1231
Salomé Lopes,Agricultor,Solteiro,Feminino,Porto,Porto,28/07/2004,salomé.lopes@yahoo.com,C1232
Ivo Leite,Técnico de Marketing,Viúvo,Masculino,Braga,Fafe,21/10/1982,ivo.leite@sapo.pt,C1233
Isabela Paiva,Cozinheiro,Divorciado,Feminino,Porto,Santo Tirso,30/05/1969,isabela.paiva@yahoo.com,C1234
Hugo da Cardoso,Cozinheiro,Casado,Masculino,Viseu,Tondela,15/06/1996,hugo.cardoso@outlook.com,C1235
Lúcia Matias-Pinho,Psicólogo,Casado,Feminino,Santarém,Tomar,27/11/1991,lúcia.matias-pinho@gmail.com,C1236
Mia Abreu,Programador,Viúvo,Feminino,Viana do Castelo,Vila Nova de Cerveira,10/12/1988,mia.abreu@outlook.com,C1237
Ana da Nascimento,Aposentado,Solteiro,Feminino,Viana do Castelo,Valença,11/06/1947,ana.nascimento@yahoo.com,C1238
Frederico Vicente-Pires,Eletricista,Solteiro,Masculino,Lisboa,Loures,02/09/1973,frederico.vicente-pires@gmail.com,C1239
Valentina-Daniela Melo,Advogado,Divorciado,Feminino,Porto,Amarante,31/08/1973,valentina-daniela.melo@outlook.com,C1240
Marta Nascimento-Martins,Advogado,Divorciado,Feminino,Setúbal,Seixal,24/01/1982,marta.nascimento-martins@hotmail.com,C1241
Lia-Alícia Amaral,Contabilista,Viúvo,Feminino,Porto,Maia,05/10/1977,lia-alícia.amaral@hotmail.com,C1242
Sara Simões,Psicólogo,Casado,Feminino,Castelo Branco,Oleiros,01/08/1976,sara.simões@yahoo.com,C1243
Cláudio Castro,Motorista,Viúvo,Masculino,Braga,Barcelos,12/05/1996,cláudio.castro@outlook.com,C1244
Isaac Henriques,Professor,Solteiro,Masculino,Braga,Cabeceiras de Basto,14/04/1991,isaac.henriques@gmail.com,C1245
Nuno Gaspar,Rececionista,Divorciado,Masculino,Braga,Amares,13/03/1979,nuno.gaspar@outlook.com,C1246
Yasmin Morais,Aposentado,Casado,Feminino,Braga,Cabeceiras de Basto,28/08/1945,yasmin.morais@hotmail.com,C1247
Micael Ribeiro,Professor,Viúvo,Masculino,Braga,Celorico de Basto,24/05/1981,micael.ribeiro@yahoo.com,C1248
Lisandro Cardoso,Professor,Casado,Masculino,Portalegre,Arronches,10/03/1983,lisandro.cardoso@yahoo.com,C1249
Adriana Cruz,Eletricista,Casado,Feminino,Braga,Cabeceiras de Basto,30/07/1982,adriana.cruz@hotmail.com,C1250
Ivo Borges,Programador,Viúvo,Masculino,Beja,Beja,14/07/1991,ivo.borges@outlook.com,C1251
Diego Garcia,Psicólogo,Solteiro,Masculino,Vila Real,Valpaços,23/11/1989,diego.garcia@outlook.com,C1252
Erika Freitas,Rececionista,Divorciado,Feminino,Braga,Fafe,14/12/1976,erika.freitas@hotmail.com,C1253
Petra Nogueira-Martins,Gestor de Projetos,Solteiro,Feminino,Setúbal,Seixal,25/01/1968,petra.nogueira-martins@hotmail.com,C1254
Mário Ribeiro-Moura,Advogado,Divorciado,Masculino,Porto,Valongo,07/10/1985,mário.ribeiro-moura@outlook.com,C1255
André da Azevedo,Designer Gráfico,Solteiro,Masculino,Castelo Branco,Fundão,07/08/1971,andré.azevedo@gmail.com,C1256
Gonçalo Rodrigues,Empregado de Limpeza,Viúvo,Masculino,Viseu,Nelas,03/08/1969,gonçalo.rodrigues@yahoo.com,C1257
Patrícia Brito,Rececionista,Viúvo,Feminino,Braga,Barcelos,06/04/1970,patrícia.brito@yahoo.com,C1258
Nicole-Carolina Ribeiro,Programador,Viúvo,Feminino,Braga,Braga,31/10/1991,nicole-carolina.ribeiro@hotmail.com,C1259
Simão Araújo,Advogado,Divorciado,Masculino,Braga,Guimarães,02/08/2003,simão.araújo@hotmail.com,C1260
David Tavares,Aposentado,Divorciado,Masculino,Braga,Celorico de Basto,22/09/1951,david.tavares@sapo.pt,C1261
Carolina Soares,Gestor de Projetos,Divorciado,Feminino,Braga,Guimarães,07/04/1999,carolina.soares@hotmail.com,C1262
Bruno Cruz,Programador,Viúvo,Masculino,Porto,Santo Tirso,07/04/1992,bruno.cruz@hotmail.com,C1263
Gil Pinho,Carpinteiro,Viúvo,Masculino,Braga,Esposende,04/07/1985,gil.pinho@outlook.com,C1264
Vitória Matos,Engenheiro,Viúvo,Feminino,Braga,Celorico de Basto,13/07/1984,vitória.matos@yahoo.com,C1265
Joaquim Araújo,Eletricista,Divorciado,Masculino,Leiria,Óbidos,23/07/1990,joaquim.araújo@sapo.pt,C1266
Lisandro Fonseca-Guerreiro,Comerciante,Viúvo,Masculino,Braga,Esposende,07/02/1975,lisandro.fonseca-guerreiro@gmail.com,C1267
Salomé da Azevedo,Analista de Dados,Solteiro,Feminino,Aveiro,Oliveira de Azeméis,06/11/2002,salomé.azevedo@hotmail.com,C1268
Igor Miranda,Cozinheiro,Divorciado,Masculino,Coimbra,Oliveira do Hospital,20/05/1989,igor.miranda@yahoo.com,C1269
Lourenço Vicente,Cozinheiro,Casado,Masculino,Braga,Amares,06/06/1997,lourenço.vicente@hotmail.com,C1270
Júlia-Núria Pacheco,Psicólogo,Solteiro,Feminino,Braga,Guimarães,23/05/1967,júlia-núria.pacheco@gmail.com,C1271
Emília Ferreira,Comerciante,Casado,Feminino,Castelo Branco,Sertã,10/12/1993,emília.ferreira@hotmail.com,C1272
Luciana Martins,Analista de Dados,Viúvo,Feminino,Viseu,Carregal do Sal,08/06/1972,luciana.martins@yahoo.com,C1273
Bárbara Carvalho,Programador,Casado,Feminino,Braga,Guimarães,04/09/1981,bárbara.carvalho@yahoo.com,C1274
Ângelo Matias,Farmacêutico,Viúvo,Masculino,Castelo Branco,Vila Velha de Ródão,28/08/1999,ângelo.matias@outlook.com,C1275
Paulo Azevedo,Técnico de Marketing,Solteiro,Masculino,Viana do Castelo,Melgaço,17/12/1969,paulo.azevedo@yahoo.com,C1276
Flor Nunes,Farmacêutico,Solteiro,Feminino,Viana do Castelo,Arcos de Valdevez,04/11/1987,flor.nunes@sapo.pt,C1277
Igor Antunes,Engenheiro,Solteiro,Masculino,Braga,Vizela,04/06/1999,igor.antunes@sapo.pt,C1278
Yara-Mia Figueiredo,Aposentado,Divorciado,Feminino,Braga,Cabeceiras de Basto,25/05/1955,yara-mia.figueiredo@sapo.pt,C1279
Francisco do Coelho,Cozinheiro,Viúvo,Masculino,Braga,Vila Nova de Famalicão,01/08/1965,francisco.coelho@yahoo.com,C1280
Ismael Marques,Psicólogo,Viúvo,Masculino,Viana do Castelo,Monção,23/07/1977,ismael.marques@outlook.com,C1281
Denis Cardoso,Eletricista,Solteiro,Masculino,Viana do Castelo,Ponte da Barca,18/10/1970,denis.cardoso@outlook.com,C1282
Fernando Fonseca,Analista de Dados,Divorciado,Masculino,Porto,Gondomar,01/06/1994,fernando.fonseca@yahoo.com,C1283
Valentim de Lourenço,Carpinteiro,Viúvo,Masculino,Vila Real,Vila Pouca de Aguiar,23/03/1967,valentim.lourenço@yahoo.com,C1284
Pedro Miranda,Estudante,Casado,Masculino,Viana do Castelo,Ponte de Lima,07/06/2002,pedro.miranda@gmail.com,C1285
Débora Assunção,Psicólogo,Divorciado,Feminino,Lisboa,Oeiras,12/06/2002,débora.assunção@gmail.com,C1286
Mateus Pacheco,Farmacêutico,Viúvo,Masculino,Braga,Vizela,23/10/1989,mateus.pacheco@sapo.pt,C1287
Victória Cardoso,Aposentado,Viúvo,Feminino,Porto,Amarante,10/07/1957,victória.cardoso@hotmail.com,C1288
Carminho Andrade,Enfermeiro,Viúvo,Feminino,Braga,Barcelos,20/03/1988,carminho.andrade@sapo.pt,C1289
Afonso do Azevedo,Comerciante,,Masculino,Portalegre,Marvão,01/09/1966,afonso.azevedo@outlook.com,C1290
Eduardo Martins,Programador,Solteiro,Masculino,Porto,Amarante,23/03/1967,eduardo.martins@gmail.com,C1291
Filipa Pires-Correia,Eletricista,Viúvo,Feminino,Braga,Cabeceiras de Basto,23/03/1966,filipa.pires-correia@yahoo.com,C1292
Nádia Matias,Aposentado,Viúvo,Feminino,Braga,Vizela,05/07/1957,nádia.matias@gmail.com,C1293
Yara Nogueira,Agricultor,Viúvo,Feminino,Braga,Braga,11/03/1995,yara.nogueira@gmail.com,C1294
Eduardo Rocha,Programador,Solteiro,Masculino,Portalegre,Arronches,04/04/1994,eduardo.rocha@sapo.pt,C1295
Sérgio da Pacheco,Empregado de Limpeza,Solteiro,Masculino,Coimbra,Cantanhede,02/04/1996,sérgio.pacheco@yahoo.com,C1296
